"","1
8:30 - 10:00","2
10:00 - 11:30","3
11:30 - 1:00","4
1:00 - 2:30","5
2:30 - 4:00","6
4:00 - 5:30","7
5:30 - 7:00","8
7:00 - 8:30"
"Mo","","","Waleed Siddiqui / Dr. Murid Hussain
Lab-Engineering Drawing
PC Lab-GP (C-9)","Waleed Siddiqui / Dr. Murid Hussain
Lab-Engineering Drawing
PC Lab-GP (C-9)","","","",""
"Tu","CHE-Dr. Awais
Bukhari
General Engineering
D-10","CHE-Dr. Asim Laeeq
Khan
Introduction to
Chemical
Engineering
D-115","Prof. Dr. Zulfiqar Ali / Ayesha Siddiqa
Lab-Chemistry-I
G1
ChE Lab-1","Prof. Dr. Zulfiqar Ali / Ayesha Siddiqa
Lab-Chemistry-I
G1
ChE Lab-1","","","",""
"Tu","CHE-Dr. Awais
Bukhari
General Engineering
D-10","CHE-Dr. Asim Laeeq
Khan
Introduction to
Chemical
Engineering
D-115","CHE-Dr. Imran Rafiq
Lab-General Engineering
G2
Che Lab-6","CHE-Dr. Imran Rafiq
Lab-General Engineering
G2
Che Lab-6","","","",""
"We","CHE-Prof. Dr. Zulfiqar
Ali
Chemistry-I
N-24","CHE-Dr. Awais
Bukhari
General Engineering
D-116","CHE-Tariq Raza
Calculus-I
N-25-A","HUM-Noor-ul-Ain
English
Comprehension and
Composition
O-1","","","",""
"Th","CHE-Prof. Dr. Zulfiqar
Ali
Chemistry-I
D-13","CHE-Dr. Asim Laeeq
Khan
Introduction to
Chemical
Engineering
N-25-A","CHE-Dr. Imran Rafiq
Lab-General Engineering
G1
Che Lab-6","CHE-Dr. Imran Rafiq
Lab-General Engineering
G1
Che Lab-6","","","",""
"Th","CHE-Prof. Dr. Zulfiqar
Ali
Chemistry-I
D-13","CHE-Dr. Asim Laeeq
Khan
Introduction to
Chemical
Engineering
N-25-A","","Prof. Dr. Zulfiqar Ali / Ayesha Siddiqa
Lab-Chemistry-I
G2
ChE Lab-1","Prof. Dr. Zulfiqar Ali / Ayesha Siddiqa
Lab-Chemistry-I
G2
ChE Lab-1","","",""
"Fr","","CHE-Tariq Raza
Calculus-I
N-25-A","HUM-Noor-ul-Ain
English
Comprehension and
Composition
N-9","","","","",""
